class,class_index,snr_db,full,causal,local
AM-SSB,2,-2.0,0.3364066779613495,0.3358334004878998,0.32775992155075073
AM-SSB,2,0.0,0.3351365327835083,0.3363170325756073,0.328546404838562
AM-SSB,2,2.0,0.33700060844421387,0.3357875943183899,0.32721173763275146
AM-SSB,2,4.0,0.33739662170410156,0.3357454240322113,0.3268579840660095
AM-SSB,2,6.0,0.33711880445480347,0.33598312735557556,0.32689812779426575
AM-SSB,2,8.0,0.3356865346431732,0.3361900746822357,0.32812345027923584
AM-SSB,2,10.0,0.337432324886322,0.3357137441635132,0.3268539309501648
AM-SSB,2,12.0,0.3359963893890381,0.33593493700027466,0.3280686140060425
AM-SSB,2,14.0,0.3369174897670746,0.3360109031200409,0.32707175612449646
AM-SSB,2,16.0,0.3349422514438629,0.3363369405269623,0.32872065901756287
AM-SSB,2,18.0,0.33633339405059814,0.3360501229763031,0.3276165723800659
BPSK,3,-6.0,0.33331477642059326,0.33132365345954895,0.3353615999221802
BPSK,3,-4.0,0.33322539925575256,0.3279840052127838,0.33879074454307556
BPSK,3,-2.0,0.33478018641471863,0.32816508412361145,0.3370548486709595
BPSK,3,0.0,0.34038180112838745,0.32865986227989197,0.33095845580101013
BPSK,3,2.0,0.3404061496257782,0.3296172022819519,0.3299766480922699
BPSK,3,4.0,0.3392426371574402,0.3306026756763458,0.3301551342010498
BPSK,3,6.0,0.3393861651420593,0.33073753118515015,0.3298763632774353
BPSK,3,8.0,0.34110671281814575,0.330438494682312,0.3284545838832855
BPSK,3,10.0,0.3420558273792267,0.3301849365234375,0.3277592360973358
BPSK,3,12.0,0.3441598415374756,0.3297466039657593,0.32609379291534424
BPSK,3,14.0,0.3441624343395233,0.3298759162425995,0.32596147060394287
BPSK,3,16.0,0.34421733021736145,0.3298417329788208,0.32594096660614014
BPSK,3,18.0,0.34373530745506287,0.3298030495643616,0.32646143436431885
CPFSK,4,-6.0,0.3263483941555023,0.3344786763191223,0.33917301893234253
CPFSK,4,-4.0,0.32209473848342896,0.3357061445713043,0.34219929575920105
CPFSK,4,-2.0,0.3271021246910095,0.3361090123653412,0.33678871393203735
CPFSK,4,0.0,0.33306941390037537,0.33636897802352905,0.3305618166923523
CPFSK,4,2.0,0.331844300031662,0.33823710680007935,0.32991868257522583
CPFSK,4,4.0,0.3311881721019745,0.3384963870048523,0.3303154706954956
CPFSK,4,6.0,0.3308921158313751,0.3384144604206085,0.33069348335266113
CPFSK,4,8.0,0.33066853880882263,0.33795279264450073,0.331378698348999
CPFSK,4,10.0,0.33189547061920166,0.33734822273254395,0.33075636625289917
CPFSK,4,12.0,0.33246296644210815,0.3372460603713989,0.3302910327911377
CPFSK,4,14.0,0.33401963114738464,0.33663949370384216,0.3293409049510956
CPFSK,4,16.0,0.33481302857398987,0.3365876376628876,0.32859936356544495
CPFSK,4,18.0,0.3352818191051483,0.3364088535308838,0.3283093273639679
GFSK,5,-6.0,0.3292846977710724,0.33232584595680237,0.33838942646980286
GFSK,5,-4.0,0.3151252567768097,0.33550959825515747,0.349365234375
GFSK,5,-2.0,0.31116166710853577,0.33703941106796265,0.3517988920211792
GFSK,5,0.0,0.3145108222961426,0.3372323215007782,0.34825676679611206
GFSK,5,2.0,0.32174980640411377,0.3365251123905182,0.34172505140304565
GFSK,5,4.0,0.32372546195983887,0.33646705746650696,0.3398074805736542
GFSK,5,6.0,0.3228134214878082,0.3369166851043701,0.34026968479156494
GFSK,5,8.0,0.3223588466644287,0.3368058502674103,0.340835303068161
GFSK,5,10.0,0.32188212871551514,0.33673492074012756,0.34138286113739014
GFSK,5,12.0,0.32100746035575867,0.33700260519981384,0.3419898748397827
GFSK,5,14.0,0.32102784514427185,0.3371872305870056,0.34178483486175537
GFSK,5,16.0,0.3215678930282593,0.3368869423866272,0.34154513478279114
GFSK,5,18.0,0.3216306269168854,0.3368915915489197,0.3414776921272278
PAM4,6,-6.0,0.3247118890285492,0.3303305506706238,0.34495753049850464
PAM4,6,-4.0,0.3219505548477173,0.3327733874320984,0.3452761769294739
